year_,state_,state_po,candidate,party_detailed,candidate_vote
1976,ALABAMA,AL,JIMMY CARTER,DEMOCRAT,659170
1976,ALABAMA,AL,GERALD FORD,REPUBLICAN,504070
1976,ALABAMA,AL,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,9198
1976,ALABAMA,AL,BENJAMIN BEN BUBAR,PROHIBITION,6669
1976,ALABAMA,AL,GUS HALL,COMMUNIST PARTY USE,1954
1976,ALABAMA,AL,ROGER MACBRIDE,LIBERTARIAN,1481
1976,ALABAMA,AL,,,308
1976,ALASKA,AK,GERALD FORD,REPUBLICAN,71555
1976,ALASKA,AK,JIMMY CARTER,DEMOCRAT,44058
1976,ALASKA,AK,ROGER MACBRIDE,LIBERTARIAN,6785
1976,ALASKA,AK,,,1176
1976,ARIZONA,AZ,GERALD FORD,REPUBLICAN,418642
1976,ARIZONA,AZ,JIMMY CARTER,DEMOCRAT,295602
1976,ARIZONA,AZ,EUGENE GENE MCCARTHY,INDEPENDENT,19229
1976,ARIZONA,AZ,ROGER MACBRIDE,LIBERTARIAN,7647
1976,ARIZONA,AZ,PETER CAMEJO,SOCIALIST WORKERS,928
1976,ARIZONA,AZ,THOMAS J. ANDERSON,AMERICAN,564
1976,ARIZONA,AZ,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,85
1976,ARIZONA,AZ,,,22
1976,ARKANSAS,AR,JIMMY CARTER,DEMOCRAT,498604
1976,ARKANSAS,AR,GERALD FORD,REPUBLICAN,267903
1976,ARKANSAS,AR,,INDEPENDENT,639
1976,ARKANSAS,AR,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,389
1976,CALIFORNIA,CA,GERALD FORD,REPUBLICAN,3882244
1976,CALIFORNIA,CA,JIMMY CARTER,DEMOCRAT,3742284
1976,CALIFORNIA,CA,ROGER MACBRIDE,INDEPENDENT,56388
1976,CALIFORNIA,CA,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,51098
1976,CALIFORNIA,CA,MARGARET WRIGHT,PEACE & FREEDOM,41731
1976,CALIFORNIA,CA,PETER CAMEJO,INDEPENDENT,17259
1976,CALIFORNIA,CA,GUS HALL,INDEPENDENT,12766
1976,COLORADO,CO,GERALD FORD,REPUBLICAN,584278
1976,COLORADO,CO,JIMMY CARTER,DEMOCRAT,460801
1976,COLORADO,CO,EUGENE GENE MCCARTHY,INDEPENDENT,26047
1976,COLORADO,CO,ROGER MACBRIDE,LIBERTARIAN,5338
1976,COLORADO,CO,BENJAMIN BEN BUBAR,PROHIBITION,2886
1976,COLORADO,CO,PETER CAMEJO,SOCIALIST WORKERS,1122
1976,COLORADO,CO,LYNDON LAROUCHE JR.,U.S. LABOR,565
1976,COLORADO,CO,GUS HALL,COMMUNIST PARTY USE,403
1976,CONNECTICUT,CT,GERALD FORD,REPUBLICAN,719261
1976,CONNECTICUT,CT,JIMMY CARTER,DEMOCRAT,647895
1976,CONNECTICUT,CT,SCATTERING,,10309
1976,CONNECTICUT,CT,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,7101
1976,CONNECTICUT,CT,LYNDON LAROUCHE JR.,U.S. LABOR,1789
1976,DELAWARE,DE,JIMMY CARTER,DEMOCRAT,122461
1976,DELAWARE,DE,GERALD FORD,REPUBLICAN,109780
1976,DELAWARE,DE,,NO PARTY AFFILIATION,2432
1976,DELAWARE,DE,THOMAS J. ANDERSON,AMERICAN,645
1976,DELAWARE,DE,LYNDON LAROUCHE JR.,U.S. LABOR,135
